"filename", "language", "CSS", "JavaScript", "PHP", "Markdown", "YAML", "SCSS", "JSON", "PowerShell", "XML", "HTML", "Ruby", "C++", "C", "Python", "CMake", "Shell Script", "comment", "blank", "total"
"c:\xampp\htdocs\storp\poppler\splash\SplashXPathScanner.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 447, 0, 0, 0, 0, 37, 36, 520
"c:\xampp\htdocs\storp\poppler\splash\SplashXPathScanner.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 39, 30, 137
"c:\xampp\htdocs\storp\poppler\test\cairo-thread-test.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 462, 0, 0, 0, 0, 29, 71, 562
"c:\xampp\htdocs\storp\poppler\test\goostring-format-checker\goostring-format-checker.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 269, 0, 0, 0, 0, 41, 52, 362
"c:\xampp\htdocs\storp\poppler\test\gtk-test.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 294, 0, 0, 0, 0, 18, 88, 400
"c:\xampp\htdocs\storp\poppler\test\image-embedding.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 18, 10, 114
"c:\xampp\htdocs\storp\poppler\test\pdf-fullrewrite.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 269, 0, 0, 0, 0, 31, 27, 327
"c:\xampp\htdocs\storp\poppler\test\pdf-inspector.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 217, 0, 0, 0, 0, 16, 67, 300
"c:\xampp\htdocs\storp\poppler\test\pdf-operators.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 2, 82
"c:\xampp\htdocs\storp\poppler\test\perf-test-preview-dummy.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 6, 7, 20
"c:\xampp\htdocs\storp\poppler\test\perf-test-preview-win.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 204, 0, 0, 0, 0, 13, 45, 262
"c:\xampp\htdocs\storp\poppler\test\perf-test.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 750, 0, 0, 0, 0, 85, 120, 955
"c:\xampp\htdocs\storp\poppler\utils\HtmlFonts.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 272, 0, 0, 0, 0, 57, 42, 371
"c:\xampp\htdocs\storp\poppler\utils\HtmlFonts.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 31, 8, 129
"c:\xampp\htdocs\storp\poppler\utils\HtmlLinks.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 36, 17, 159
"c:\xampp\htdocs\storp\poppler\utils\HtmlLinks.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 25, 10, 77
"c:\xampp\htdocs\storp\poppler\utils\HtmlOutputDev.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1463, 0, 0, 0, 0, 171, 201, 1835
"c:\xampp\htdocs\storp\poppler\utils\HtmlOutputDev.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 91, 65, 322
"c:\xampp\htdocs\storp\poppler\utils\HtmlUtils.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 24, 8, 58
"c:\xampp\htdocs\storp\poppler\utils\ImageOutputDev.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 595, 0, 0, 0, 0, 61, 78, 734
"c:\xampp\htdocs\storp\poppler\utils\ImageOutputDev.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 57, 29, 154
"c:\xampp\htdocs\storp\poppler\utils\InMemoryFile.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 17, 8, 86
"c:\xampp\htdocs\storp\poppler\utils\InMemoryFile.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 18, 10, 57
"c:\xampp\htdocs\storp\poppler\utils\Win32Console.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 25, 25, 165
"c:\xampp\htdocs\storp\poppler\utils\Win32Console.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 22, 14, 72
"c:\xampp\htdocs\storp\poppler\utils\numberofcharacters.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 9, 4, 26
"c:\xampp\htdocs\storp\poppler\utils\parseargs.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 201, 0, 0, 0, 0, 23, 18, 242
"c:\xampp\htdocs\storp\poppler\utils\parseargs.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 45, 11, 89
"c:\xampp\htdocs\storp\poppler\utils\pdf2xml.dtd", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\xampp\htdocs\storp\poppler\utils\pdfattach.cc", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 16, 17, 107
